Strategy,Won,Score,Remaining_plays,Target_hand_ratio
Full House,1,988,1,0.75
Full House,1,623,0,0.5
Full House,1,908,1,0.75
Full House,1,1108,1,0.5
Full House,0,422,0,0.25
Full House,1,872,1,0.75
Full House,0,439,0,0.25
Full House,1,623,0,0.5
Full House,0,163,0,0.0
Full House,1,663,1,0.5
Full House,1,1296,2,0.75
Full House,1,928,1,0.75
Full House,1,1020,2,0.75
Full House,1,1124,1,1.0
Full House,1,1100,1,1.0
Full House,0,567,0,0.5
Full House,1,1024,2,0.75
Full House,1,1024,2,0.75
Full House,1,848,1,0.5
Full House,1,1108,2,0.75
Full House,1,944,1,0.75
Full House,0,382,0,0.25
Full House,0,472,0,0.25
Full House,0,400,0,0.25
Full House,1,1164,2,1.0
Full House,0,552,0,0.25
Full House,1,1348,2,0.75
Full House,1,1208,2,1.0
Full House,1,1424,2,0.75
Full House,1,800,1,0.5
Full House,1,1155,3,0.5
Full House,1,775,2,0.5
Full House,1,883,0,0.75
Full House,1,728,0,0.5
Full House,1,1059,1,0.75
Full House,1,1220,2,1.0
Full House,0,363,0,0.25
Full House,1,671,0,0.5
Full House,0,380,0,0.25
Full House,1,1172,2,1.0
Full House,1,1224,1,1.0
Full House,0,198,0,0.0
Full House,1,1152,1,1.0
Full House,1,955,0,0.75
Full House,1,1188,2,1.0
Full House,1,992,1,0.75
Full House,1,980,1,0.75
Full House,1,646,0,0.5
Full House,1,1232,2,1.0
Full House,1,804,2,0.5
Full House,1,1632,2,1.0
Full House,1,991,2,0.75
Full House,1,892,2,0.75
Full House,1,1004,1,0.75
Full House,1,976,2,0.75
Full House,1,1164,2,1.0
Full House,1,1248,2,1.0
Full House,1,1156,2,0.75
Full House,1,912,0,0.75
Full House,1,944,1,0.75
Full House,1,732,2,0.5
Full House,1,782,2,0.5
Full House,1,944,2,0.75
Full House,1,896,1,0.75
Full House,1,855,1,0.75
Full House,1,836,1,0.75
Full House,1,1072,1,1.0
Full House,0,191,0,0.0
Full House,0,524,0,0.25
Full House,1,688,0,0.5
Full House,1,888,1,0.75
Full House,1,731,1,0.5
Full House,0,496,0,0.25
Full House,1,1156,2,1.0
Full House,1,1112,2,1.0
Full House,1,1144,1,1.0
Full House,1,881,0,0.75
Full House,1,1048,3,0.5
Full House,0,422,0,0.25
Full House,1,1034,2,0.75
Full House,1,994,2,0.75
Full House,1,1944,2,1.0
Full House,1,948,0,0.75
Full House,1,604,0,0.5
Full House,1,1044,2,0.75
Full House,0,539,0,0.25
Full House,1,916,1,0.75
Full House,1,1256,2,1.0
Full House,1,860,1,0.75
Full House,1,776,2,0.5
Full House,0,395,0,0.25
Full House,1,1252,2,1.0
Full House,1,968,2,0.75
Full House,1,1076,2,0.75
Full House,0,419,0,0.25
Full House,1,951,2,0.75
Full House,1,996,1,0.75
Full House,1,740,2,0.5
Full House,1,763,2,0.5
Full House,1,1237,2,0.75
Full House,1,704,1,0.5
Full House,1,936,1,0.75
Full House,1,763,2,0.5
Full House,1,1756,3,0.75
Full House,1,1228,2,1.0
Full House,1,1180,2,1.0
Full House,0,520,0,0.5
Full House,1,884,1,0.75
Full House,1,760,2,0.5
Full House,1,1132,1,1.0
Full House,1,719,2,0.5
Full House,1,843,2,0.5
Full House,1,1124,2,0.75
Full House,1,1236,2,1.0
Full House,1,1228,2,1.0
Full House,1,1156,1,1.0
Full House,1,667,0,0.5
Full House,1,1084,2,0.75
Full House,1,1208,2,1.0
Full House,0,443,0,0.25
Full House,1,1336,2,1.0
Full House,1,667,0,0.5
Full House,1,1524,2,1.0
Full House,1,1116,1,1.0
Full House,1,1152,1,1.0
Full House,1,1236,2,1.0
Full House,1,780,2,0.5
Full House,1,951,2,0.75
Full House,1,839,1,0.25
Full House,1,729,0,0.5
Full House,1,1132,1,1.0
Full House,1,808,2,0.5
Full House,1,1196,1,1.0
Full House,1,1540,2,1.0
Full House,1,908,1,0.75
Full House,1,1004,1,0.75
Full House,1,759,1,0.5
Full House,1,1264,2,1.0
Full House,1,1244,2,1.0
Full House,0,464,0,0.25
Full House,0,448,0,0.25
Full House,1,994,2,0.75
Full House,1,952,2,0.75
Full House,1,1324,1,0.75
Full House,1,623,0,0.5
Full House,1,631,0,0.5
Full House,0,511,0,0.25
Full House,1,655,0,0.5
Full House,0,462,0,0.25
Full House,1,1228,2,1.0
Full House,1,667,1,0.5
Full House,1,686,0,0.5
Full House,1,756,2,0.5
Full House,1,2068,2,1.0
Full House,0,482,0,0.25
Full House,1,703,1,0.5
Full House,1,1100,2,0.75
Full House,1,703,2,0.5
Full House,0,579,0,0.5
Full House,1,684,0,0.5
Full House,1,1224,2,0.75
Full House,0,431,0,0.25
Full House,1,1248,2,1.0
Full House,1,1292,2,1.0
Full House,0,411,0,0.25
Full House,1,1008,1,0.75
Full House,1,1244,2,1.0
Full House,1,1104,1,1.0
Full House,1,1016,2,0.75
Full House,1,804,1,0.5
Full House,1,1084,2,0.75
Full House,1,1496,3,1.0
Full House,1,1216,2,1.0
Full House,1,803,1,0.5
Full House,1,890,1,0.75
Full House,1,892,2,0.75
Full House,1,900,0,0.75
Full House,1,1092,2,0.75
Full House,1,1008,1,0.75
Full House,1,1308,3,0.75
Full House,1,1054,1,0.75
Full House,1,1423,3,0.5
Full House,0,595,0,0.25
Full House,1,699,1,0.5
Full House,1,1160,1,1.0
Full House,0,486,0,0.25
Full House,1,1188,1,1.0
Full House,1,732,1,0.5
Full House,1,900,1,0.75
Full House,1,984,1,0.75
Full House,1,603,0,0.5
Full House,1,1908,2,1.0
Full House,1,1228,2,1.0
Full House,1,837,2,0.5
Full House,1,733,0,0.5
Full House,1,1188,1,1.0
Full House,0,393,0,0.25
Full House,1,1172,2,1.0
Full House,1,763,2,0.5
Full House,1,836,2,0.5
Full House,1,1051,2,0.75
Full House,1,935,2,0.75
Full House,0,161,0,0.0
Full House,1,696,1,0.5
Full House,1,883,1,0.75
Full House,1,1144,1,1.0
Full House,1,996,2,0.75
Full House,1,664,1,0.5
Full House,1,1216,2,1.0
Full House,1,1008,2,0.75
Full House,1,1080,2,0.75
Full House,1,1552,2,1.0
Full House,0,427,0,0.25
Full House,1,952,2,0.75
Full House,1,1396,2,0.5
Full House,0,576,0,0.5
Full House,1,762,2,0.5
Full House,1,1103,2,0.75
Full House,1,692,1,0.5
Full House,1,648,1,0.5
Full House,1,772,1,0.5
Full House,1,751,2,0.5
Full House,1,1400,2,1.0
Full House,1,1376,3,0.75
Full House,1,691,0,0.5
Full House,1,1076,2,0.75
Full House,1,936,1,0.75
Full House,1,739,1,0.5
Full House,1,1412,2,1.0
Full House,1,1200,1,1.0
Full House,1,951,1,0.75
Full House,1,703,0,0.5
Full House,1,1065,2,0.75
Full House,1,1087,0,0.75
Full House,1,848,0,0.75
Full House,1,624,0,0.5
Full House,0,438,0,0.25
Full House,0,414,0,0.25
Full House,1,816,2,0.5
Full House,1,803,2,0.5
Full House,1,1144,1,1.0
Full House,1,998,0,0.5
Full House,1,983,2,0.75
Full House,1,1416,2,0.75
Full House,1,987,2,0.75
Full House,1,1139,1,0.5
Full House,1,915,2,0.75
Full House,0,434,0,0.25
Full House,1,1144,2,1.0
Full House,1,1048,1,0.75
Full House,1,826,1,0.5
Full House,1,1228,2,1.0
Full House,1,876,1,0.75
Full House,1,763,1,0.5
Full House,1,804,2,0.5
Full House,1,638,0,0.5
Full House,1,708,1,0.5
Full House,1,907,1,0.75
Full House,1,1342,2,0.75
Full House,1,940,2,0.75
Full House,1,944,1,0.75
Full House,0,467,0,0.25
Full House,1,752,2,0.5
Full House,1,1380,2,0.75
Full House,1,1164,2,1.0
Full House,1,972,2,0.75
Full House,0,460,0,0.25
Full House,0,514,0,0.25
Full House,1,1608,3,1.0
