Strategy,Won,Score,Remaining_plays,Target_hand_ratio
Straight,1,736,1,0.75
Straight,1,904,1,0.75
Straight,1,680,1,0.5
Straight,1,920,2,0.75
Straight,0,510,0,0.5
Straight,1,683,0,0.5
Straight,1,772,2,0.5
Straight,1,843,1,0.75
Straight,1,936,2,0.75
Straight,1,956,1,0.75
Straight,1,1188,1,1.0
Straight,1,1200,1,1.0
Straight,1,1012,2,0.75
Straight,1,1036,1,1.0
Straight,1,1084,1,1.0
Straight,1,1080,1,1.0
Straight,1,1064,1,1.0
Straight,1,779,1,0.5
Straight,1,736,0,0.5
Straight,1,840,1,0.75
Straight,1,896,1,0.75
Straight,1,1220,2,1.0
Straight,1,732,0,0.5
Straight,1,1128,1,1.0
Straight,1,902,2,0.5
Straight,1,868,1,0.75
Straight,1,1100,1,1.0
Straight,1,912,1,0.75
Straight,1,796,0,0.75
Straight,1,956,1,0.75
Straight,0,495,0,0.5
Straight,1,1203,2,0.75
Straight,1,940,1,0.75
Straight,1,896,1,0.75
Straight,1,772,2,0.5
Straight,1,644,0,0.5
Straight,1,888,0,0.75
Straight,0,511,0,0.5
Straight,1,1196,1,1.0
Straight,1,1140,2,1.0
Straight,0,516,0,0.5
Straight,0,591,0,0.5
Straight,1,1080,1,1.0
Straight,0,599,0,0.5
Straight,1,807,0,0.75
Straight,1,763,0,0.75
Straight,1,1032,2,0.75
Straight,1,1148,1,1.0
Straight,1,856,1,0.75
Straight,1,904,1,0.75
Straight,1,984,2,0.75
Straight,1,940,1,0.75
Straight,0,592,0,0.5
Straight,1,947,1,0.75
Straight,1,800,0,0.75
Straight,0,592,0,0.5
Straight,1,872,1,0.75
Straight,0,460,0,0.25
Straight,0,418,0,0.25
Straight,1,848,1,0.75
Straight,1,1120,1,1.0
Straight,1,680,0,0.5
Straight,0,555,0,0.5
Straight,1,620,0,0.5
Straight,1,640,0,0.5
Straight,1,708,1,0.5
Straight,1,1112,1,1.0
Straight,1,704,2,0.5
Straight,1,928,1,0.75
Straight,1,614,0,0.5
Straight,1,1028,1,1.0
Straight,1,684,1,0.5
Straight,1,1136,2,1.0
Straight,1,948,1,0.75
Straight,1,803,1,0.75
Straight,1,964,1,1.0
Straight,0,458,0,0.25
Straight,0,560,0,0.5
Straight,0,491,0,0.5
Straight,1,1192,2,1.0
Straight,1,940,1,0.75
Straight,1,1944,2,1.0
Straight,1,836,1,0.75
Straight,1,604,0,0.5
Straight,1,888,1,0.75
Straight,1,755,0,0.75
Straight,1,832,1,0.75
Straight,1,900,0,0.75
Straight,1,667,2,0.5
Straight,0,515,0,0.5
Straight,1,1016,1,1.0
Straight,1,767,1,0.5
Straight,1,956,2,0.75
Straight,1,956,2,0.75
Straight,1,1152,1,1.0
Straight,1,775,0,0.75
Straight,1,856,1,0.75
Straight,0,492,0,0.25
Straight,1,1092,1,1.0
Straight,1,848,1,0.75
Straight,1,900,1,0.75
Straight,1,892,2,0.75
Straight,1,675,0,0.75
Straight,1,1672,3,0.75
Straight,1,1140,2,1.0
Straight,1,1104,2,1.0
Straight,1,1128,1,1.0
Straight,1,1116,1,1.0
Straight,1,672,1,0.5
Straight,1,860,1,0.75
Straight,1,731,0,0.75
Straight,1,975,2,0.75
Straight,1,624,0,0.5
Straight,0,591,0,0.5
Straight,1,860,1,0.75
Straight,1,1072,1,1.0
Straight,0,435,0,0.25
Straight,0,487,0,0.25
Straight,1,1088,2,1.0
Straight,1,803,0,0.75
Straight,1,824,0,0.75
Straight,0,576,0,0.5
Straight,0,442,0,0.25
Straight,1,784,1,0.75
Straight,1,852,1,0.75
Straight,1,1004,1,1.0
Straight,0,504,0,0.25
Straight,1,892,0,0.75
Straight,1,847,1,0.75
Straight,1,916,2,0.75
Straight,1,711,0,0.5
Straight,1,932,1,0.75
Straight,1,755,0,0.75
Straight,1,1276,2,1.0
Straight,0,592,0,0.5
Straight,1,1164,1,1.0
Straight,1,808,1,0.75
Straight,0,447,0,0.25
Straight,1,632,0,0.5
Straight,1,1120,1,1.0
Straight,1,1000,2,0.75
Straight,1,836,1,0.75
Straight,1,860,1,0.75
Straight,1,1112,1,1.0
Straight,1,1168,1,1.0
Straight,1,1096,1,1.0
Straight,1,667,0,0.5
Straight,1,678,1,0.5
Straight,1,846,0,0.75
Straight,1,700,0,0.5
Straight,1,896,0,0.75
Straight,1,732,0,0.75
Straight,1,616,0,0.5
Straight,1,1692,2,0.75
Straight,1,670,0,0.5
Straight,1,1096,1,1.0
Straight,1,652,0,0.5
Straight,1,1168,1,1.0
Straight,0,483,0,0.5
Straight,0,596,0,0.5
Straight,1,748,1,0.75
Straight,0,467,0,0.25
Straight,1,611,0,0.5
Straight,0,391,0,0.25
Straight,1,1156,2,1.0
Straight,1,839,0,0.75
Straight,1,675,0,0.5
Straight,1,703,0,0.5
Straight,1,912,2,0.75
Straight,1,1040,2,0.75
Straight,1,643,0,0.5
Straight,1,872,2,0.75
Straight,1,948,1,0.75
Straight,1,760,1,0.5
Straight,1,960,1,0.75
Straight,0,511,0,0.5
Straight,1,836,1,0.75
Straight,0,591,0,0.5
Straight,1,676,0,0.5
Straight,0,596,0,0.5
Straight,1,924,1,0.75
Straight,1,1044,1,1.0
Straight,1,812,1,0.5
Straight,1,916,1,0.75
Straight,1,984,1,0.75
Straight,1,715,1,0.75
Straight,1,876,1,0.75
Straight,1,831,0,0.75
Straight,1,1028,1,1.0
Straight,1,896,2,0.75
Straight,1,924,2,0.75
Straight,1,991,2,0.75
Straight,1,932,1,0.75
Straight,1,708,2,0.5
Straight,1,1088,1,1.0
Straight,1,1140,2,1.0
Straight,1,616,0,0.5
Straight,1,884,2,0.75
Straight,1,1060,1,1.0
Straight,1,607,0,0.5
Straight,0,576,0,0.5
Straight,1,991,2,0.5
Straight,1,948,1,0.75
Straight,1,839,0,0.75
Straight,1,836,1,0.75
Straight,1,916,1,0.75
Straight,1,852,1,0.75
Straight,1,659,1,0.5
Straight,1,1132,1,1.0
Straight,1,848,1,0.75
Straight,1,775,2,0.5
Straight,1,835,1,0.75
Straight,1,1164,1,1.0
Straight,1,1124,1,1.0
Straight,1,848,1,0.75
Straight,1,1092,1,1.0
Straight,0,560,0,0.5
Straight,1,879,0,0.75
Straight,0,560,0,0.5
Straight,1,1092,1,1.0
Straight,1,600,0,0.5
Straight,1,628,0,0.5
Straight,1,880,1,0.75
Straight,1,964,1,0.75
Straight,1,788,1,0.5
Straight,1,1136,2,1.0
Straight,1,656,0,0.5
Straight,0,380,0,0.25
Straight,1,1124,2,1.0
Straight,1,879,0,0.75
Straight,1,1080,1,1.0
Straight,1,908,1,0.75
Straight,1,836,1,0.75
Straight,1,1148,1,1.0
Straight,1,1044,1,1.0
Straight,1,952,1,0.75
Straight,1,752,2,0.5
Straight,1,619,1,0.5
Straight,1,1188,2,1.0
Straight,0,383,0,0.25
Straight,1,624,0,0.5
Straight,1,678,0,0.5
Straight,1,671,0,0.5
Straight,0,528,0,0.5
Straight,1,776,0,0.75
Straight,1,1088,1,1.0
Straight,0,495,0,0.5
Straight,1,639,0,0.5
Straight,1,1571,2,0.75
Straight,1,1024,2,0.75
Straight,1,676,1,0.5
Straight,1,756,1,0.5
Straight,1,1096,1,1.0
Straight,0,536,0,0.25
Straight,1,1044,1,1.0
Straight,0,290,0,0.25
Straight,1,1140,1,1.0
Straight,0,599,0,0.5
Straight,1,1084,1,1.0
Straight,1,1072,1,1.0
Straight,0,135,0,0.0
Straight,1,764,0,0.75
Straight,1,1188,2,1.0
Straight,1,916,1,0.75
Straight,1,1120,1,1.0
Straight,1,1216,1,0.75
Straight,1,1172,1,1.0
Straight,1,1144,1,1.0
Straight,1,888,1,0.75
Straight,1,1096,1,1.0
Straight,1,884,1,0.75
Straight,1,1024,1,1.0
Straight,1,641,2,0.5
Straight,0,516,0,0.5
Straight,1,1460,1,1.0
Straight,1,1100,2,1.0
Straight,1,1032,1,1.0
Straight,1,816,1,0.75
Straight,1,895,0,0.75
Straight,1,679,0,0.5
Straight,1,1020,1,1.0
Straight,1,880,2,0.75
Straight,0,587,0,0.5
Straight,1,1168,1,1.0
Straight,1,1116,1,1.0
Straight,1,684,0,0.5
Straight,1,1144,1,1.0
Straight,1,619,1,0.5
Straight,1,952,1,0.75
Straight,0,352,0,0.25
Straight,1,1144,1,1.0
Straight,1,1152,1,1.0
Straight,1,900,1,0.75
Straight,1,868,1,0.75
Straight,1,928,1,1.0
Straight,1,792,1,0.75
Straight,0,575,0,0.5
Straight,1,1404,3,1.0
Straight,1,628,0,0.5
Straight,0,472,0,0.25
Straight,1,1108,2,1.0
Straight,1,1000,2,0.75
Straight,0,575,0,0.5
Straight,1,651,0,0.5
Straight,1,623,0,0.5
Straight,0,402,0,0.25
Straight,0,568,0,0.5
Straight,1,812,0,0.75
Straight,1,732,2,0.5
Straight,1,847,1,0.75
Straight,0,387,0,0.25
Straight,0,596,0,0.5
Straight,1,1108,1,1.0
Straight,1,968,1,0.75
Straight,1,840,1,0.75
Straight,1,868,0,0.75
Straight,1,896,0,0.75
Straight,1,948,1,0.75
Straight,1,1092,1,1.0
Straight,1,856,1,0.75
Straight,1,1152,2,1.0
Straight,1,1092,1,1.0
Straight,1,752,1,0.5
Straight,1,688,1,0.5
Straight,0,592,0,0.5
Straight,1,948,2,0.75
Straight,0,392,0,0.25
Straight,0,535,0,0.5
Straight,1,755,0,0.75
Straight,1,1572,1,1.0
Straight,1,1084,1,1.0
Straight,1,880,1,0.75
Straight,1,1683,2,0.75
Straight,1,634,0,0.5
Straight,1,1072,2,1.0
Straight,1,636,0,0.5
Straight,1,603,0,0.5
Straight,1,755,0,0.75
Straight,1,772,0,0.75
Straight,1,876,1,0.75
Straight,1,888,2,0.75
Straight,1,856,1,0.75
Straight,1,804,1,0.75
Straight,1,836,1,0.75
Straight,1,1112,1,1.0
Straight,1,1164,1,1.0
Straight,1,1472,2,1.0
Straight,1,1092,1,1.0
Straight,1,620,0,0.5
Straight,1,1084,1,1.0
Straight,1,607,0,0.5
Straight,1,1016,1,1.0
Straight,0,339,0,0.25
Straight,1,832,1,0.75
Straight,1,888,2,0.75
Straight,1,1216,2,1.0
Straight,1,1124,1,1.0
Straight,1,608,0,0.5
Straight,1,664,2,0.5
Straight,1,1108,2,1.0
Straight,1,1124,1,1.0
Straight,1,1252,2,1.0
Straight,1,724,1,0.5
Straight,1,1052,1,1.0
Straight,1,1228,2,1.0
Straight,1,611,0,0.5
Straight,1,1196,2,1.0
Straight,1,808,0,0.75
Straight,1,615,0,0.5
Straight,0,543,0,0.5
Straight,0,384,0,0.25
Straight,0,571,0,0.5
Straight,0,436,0,0.25
Straight,1,968,1,0.75
Straight,1,1012,2,0.75
Straight,1,619,0,0.5
Straight,1,948,1,0.75
Straight,1,852,0,0.75
Straight,1,852,1,0.75
Straight,1,1188,1,1.0
Straight,1,900,1,0.75
Straight,0,579,0,0.5
Straight,0,325,0,0.25
Straight,1,792,1,0.75
Straight,1,1272,2,1.0
Straight,0,548,0,0.5
Straight,0,325,0,0.25
Straight,1,662,0,0.5
Straight,1,1092,1,1.0
Straight,0,592,0,0.5
Straight,1,832,0,0.75
Straight,0,587,0,0.5
Straight,1,996,1,1.0
Straight,1,1160,1,1.0
Straight,1,808,1,0.75
Straight,1,994,1,0.75
Straight,1,1104,1,1.0
Straight,1,824,1,0.75
Straight,1,1108,1,1.0
Straight,1,788,2,0.5
Straight,1,860,1,0.75
Straight,0,315,0,0.25
Straight,1,692,1,0.5
Straight,1,852,0,0.75
Straight,1,996,1,1.0
Straight,1,1192,1,1.0
Straight,1,832,1,0.75
Straight,1,1032,1,1.0
Straight,1,984,1,0.75
Straight,1,1180,1,1.0
Straight,0,471,0,0.25
Straight,1,1188,1,1.0
Straight,1,820,1,0.75
Straight,0,591,0,0.5
Straight,1,848,1,0.75
Straight,1,632,0,0.5
Straight,1,1112,1,1.0
Straight,1,1156,1,1.0
Straight,1,1204,1,1.0
Straight,0,580,0,0.5
Straight,1,600,0,0.5
Straight,1,1112,1,1.0
Straight,1,856,1,0.75
Straight,1,811,0,0.75
Straight,1,1128,1,1.0
Straight,1,851,0,0.75
Straight,0,592,0,0.5
Straight,1,1096,1,1.0
Straight,1,992,1,1.0
Straight,1,856,1,0.75
Straight,0,511,0,0.5
Straight,1,948,1,0.75
Straight,1,924,2,0.75
Straight,1,679,0,0.5
Straight,1,876,1,0.75
Straight,1,674,0,0.5
Straight,1,899,2,0.75
Straight,1,755,0,0.75
Straight,1,896,0,0.75
Straight,1,1196,1,1.0
Straight,1,655,1,0.5
Straight,1,692,1,0.5
Straight,1,916,1,0.75
Straight,1,1120,1,1.0
Straight,1,904,1,0.75
Straight,1,936,1,0.75
Straight,1,1096,1,1.0
Straight,1,839,1,0.75
Straight,0,475,0,0.25
Straight,1,1232,2,1.0
Straight,1,944,1,0.75
Straight,0,588,0,0.5
Straight,0,555,0,0.5
Straight,0,528,0,0.5
Straight,1,1080,1,1.0
Straight,1,936,1,0.75
Straight,1,1072,1,1.0
Straight,1,1096,1,1.0
Straight,1,804,0,0.75
Straight,1,912,1,0.75
Straight,1,664,1,0.5
Straight,1,1144,1,1.0
Straight,0,368,0,0.25
Straight,1,775,1,0.5
Straight,1,916,1,0.75
Straight,1,636,0,0.5
Straight,1,800,1,0.75
Straight,1,1232,2,0.75
Straight,1,643,1,0.5
Straight,1,1164,1,1.0
Straight,1,604,0,0.5
Straight,1,864,0,0.75
Straight,1,603,0,0.5
Straight,1,1136,1,1.0
Straight,1,611,0,0.5
Straight,1,908,1,0.75
Straight,1,807,2,0.5
Straight,1,936,2,0.75
Straight,1,1112,1,1.0
Straight,1,944,2,0.75
Straight,1,916,1,0.75
Straight,1,952,1,1.0
Straight,1,1184,1,1.0
Straight,1,1132,1,1.0
Straight,1,1128,1,1.0
Straight,1,1148,2,1.0
Straight,1,1052,1,1.0
Straight,1,916,2,0.75
Straight,1,1220,3,0.75
Straight,0,551,0,0.5
Straight,1,936,2,0.75
Straight,1,860,1,0.75
Straight,0,543,0,0.5
Straight,1,1140,2,1.0
Straight,1,692,0,0.5
Straight,1,1000,2,0.75
Straight,1,900,1,0.75
Straight,1,851,0,0.75
Straight,1,611,0,0.5
Straight,1,800,1,0.75
Straight,1,840,0,0.75
Straight,1,992,1,0.75
Straight,0,596,0,0.5
Straight,1,1092,1,1.0
Straight,1,1099,2,0.75
Straight,1,1816,1,1.0
Straight,1,880,1,0.75
Straight,1,640,1,0.5
Straight,1,872,0,0.75
Straight,1,1048,1,1.0
Straight,0,372,0,0.25
Straight,1,895,1,0.75
Straight,1,1128,1,1.0
Straight,1,840,0,0.75
Straight,1,648,1,0.5
Straight,0,470,0,0.5
Straight,1,1013,1,0.75
Straight,1,1136,2,1.0
Straight,1,680,0,0.5
Straight,1,671,2,0.5
Straight,0,576,0,0.5
Straight,1,767,0,0.75
Straight,1,1092,1,1.0
Straight,1,895,2,0.75
Straight,1,716,1,0.5
Straight,1,607,0,0.5
Straight,1,852,0,0.75
Straight,0,539,0,0.5
Straight,1,1148,1,1.0
Straight,1,1104,2,0.75
Straight,1,904,1,0.75
Straight,1,728,2,0.5
Straight,1,904,2,0.75
Straight,1,1196,2,1.0
Straight,1,928,2,0.75
Straight,1,1088,1,1.0
Straight,1,1044,1,1.0
Straight,1,884,1,0.75
Straight,1,1052,1,1.0
Straight,1,752,1,0.5
Straight,1,733,0,0.5
Straight,1,1468,1,1.0
Straight,0,580,0,0.5
Straight,0,576,0,0.5
Straight,1,724,1,0.75
Straight,1,1136,1,1.0
Straight,1,1192,2,1.0
Straight,1,1156,1,1.0
Straight,1,680,0,0.5
Straight,1,811,0,0.75
Straight,0,350,0,0.25
Straight,0,599,0,0.5
Straight,1,1084,1,1.0
Straight,1,1168,1,1.0
Straight,1,876,0,0.75
Straight,1,1180,1,1.0
Straight,1,828,1,0.75
Straight,1,1192,2,1.0
Straight,0,506,0,0.25
Straight,1,760,1,0.5
Straight,1,809,0,0.75
Straight,1,779,1,0.75
Straight,1,815,1,0.75
Straight,1,781,0,0.75
Straight,1,852,1,0.75
Straight,1,610,0,0.5
Straight,1,1108,1,1.0
Straight,0,560,0,0.5
Straight,1,872,1,0.75
Straight,1,916,1,0.75
Straight,1,720,2,0.5
Straight,1,1996,2,1.0
Straight,1,628,0,0.5
Straight,1,880,1,0.75
Straight,1,1108,1,1.0
Straight,1,635,0,0.5
Straight,1,799,0,0.75
Straight,1,972,1,0.75
Straight,1,856,1,0.75
